freq,regisveh,unit,vehicle,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,D001,MIO_VKM,BUS_TOT,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: 	: z	: z	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	193 	: 	: 	: 	: 	160 	164 	167 	: 	85.9 	109.6 	118.1 	138.6 	518.3 	87.4 r	444 r	456 	: 	848 	917 	1123 	1137 	1149 	1184 	1344 	1123 
A,D001,MIO_VKM,BUS_TOT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	28 	28 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	271 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85.360 e	90 e	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45 	: 	: 	: 	: 	35 	37 	38 	40 	: 	37 	34 	36 	36 	34 	40 	45 	: 	100 	114.498 	106 	86 	92 	115 	123.750 	47.922 
A,D001,MIO_VKM,BUS_TOT,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	620 	621 	622 	644 	646 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	642 	624 	623 	611 	655 	667 	641 	508 
A,D001,MIO_VKM,BUS_TOT,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	623 e	: 	: 	583 e	572 e	566 e	568 e	573 e	580 	583 e	551 
A,D001,MIO_VKM,BUS_TOT,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2037 	: 	: 	: 	1953 	1923 	1965 	1993 	: 	: 	: 	: 	: 	2703 	2254 	2174 	2151 	: 	2011 	1914 e	1851 e	: 	: 	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1757 	1827 	2271 	2538 	2861 	2994 	3138 	3295 	3467 	3655 
A,D001,MIO_VKM,BUS_TOT,SE	846 	852 	886 	967 	878 	809 	769 	749 	742 	736 	732 	736 	747 	754 	753 	774 	786 	834 	899 	1000 	966 b	968 	970 	942 	953 	970 	982 	982 	978 	976 	945 	919 	927 	913 	890 	876 	872 	876 	852 	852 	856 	: 	: 	970 	969 	983 	986 	998 	998 	1006 	899.951 
A,D001,MIO_VKM,BUS_TOT,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	249 r	213 	160 r	149 r	156 r	158 r	165 r	169 r	149 r	160 r	135 r	131 r	130 r	157 r	147 	139 	140 	147 	143 	146 	145 	: 	: 	: 	: 	131 p	133 	136 	138 p	: 	80 p
A,D001,MIO_VKM,BUS_TOT,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2520 	: 	: 	3164 	3147 	3066 	2855 	2838 	2820 r	3332 	3441 	3388 	3499 	3449 	2305 	3740 	3888 	4110 	4168 	4072 	4208 	4129 	: 	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,UK	3570 	3550 	3550 	3460 	3280 	3230 	3320 	3220 	3300 	3330 	3520 	3500 	3520 	3700 	3860 	3660 	3690 	4080 	4310 	4529 	4575 	4782 	4600 b	4620 r	4629 r	4899 r	5012 r	5155 r	5248 r	5303 r	5158 r	5156 r	5205 r	5392 r	5229 	5232 	5438 	5594 	5242 r	5152 	5176 	4661 	4381 	4508 	4510 	4304 	4017 	3880 	: 	3886 	2641 
A,D001,MIO_VKM,CAR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44909 	46714 	48456 	49595 	51797 	52631 	53945 	55225 	56721 	53336 	54379 	55367 	56704 	57691 	58445 	59416 	59876 	61036 	62287 	61983 	62846 	63851 	63787 	64541 	66229 	67951 	69921 	71250 	: 	: 	: 
A,D001,MIO_VKM,CAR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75750 	76980 	77990 	77240 r	78170 	74500 	75190 	76620 	78940 	77240 	78140 	: 	: 	80370 	78040 	78730 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,CAR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9834.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,CAR,CA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	303576 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
